epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,31280.6,0.59624,0.4888,0.99024,0.90479,0.86899,0.93152,0.77302,0.70448,0.52677,0.91241,0.000109,0.000109,0.000109
182,31339.6,0.58816,0.48549,0.9874,0.90865,0.87459,0.93122,0.77528,0.70255,0.52515,0.91246,0.00010405,0.00010405,0.00010405
183,31398.1,0.5878,0.47617,0.98825,0.90534,0.87154,0.9303,0.77425,0.70317,0.52915,0.91318,9.91e-05,9.91e-05,9.91e-05
184,31456.7,0.58668,0.47588,0.98486,0.90615,0.86922,0.92973,0.77337,0.70486,0.53284,0.91218,9.415e-05,9.415e-05,9.415e-05
185,31515.1,0.58461,0.47379,0.9841,0.905,0.8721,0.93005,0.77306,0.70321,0.52929,0.90957,8.92e-05,8.92e-05,8.92e-05
186,31574.2,0.58445,0.47907,0.98703,0.90385,0.8775,0.93141,0.77691,0.69715,0.52297,0.90734,8.425e-05,8.425e-05,8.425e-05
187,31632.9,0.58108,0.4723,0.98516,0.89853,0.88161,0.93217,0.77889,0.69079,0.52367,0.90521,7.93e-05,7.93e-05,7.93e-05
188,31691.8,0.5808,0.46991,0.98556,0.91803,0.86516,0.93189,0.77735,0.69889,0.52838,0.90765,7.435e-05,7.435e-05,7.435e-05
189,31750.4,0.57753,0.46726,0.98524,0.91329,0.86921,0.93118,0.78007,0.6873,0.53018,0.90827,6.94e-05,6.94e-05,6.94e-05
190,31809.5,0.57643,0.46682,0.98486,0.9127,0.86795,0.9313,0.78306,0.68018,0.52839,0.90637,6.445e-05,6.445e-05,6.445e-05
191,31872.2,0.46176,0.28566,0.89618,0.91602,0.8715,0.93217,0.78136,0.67997,0.52423,0.90546,5.95e-05,5.95e-05,5.95e-05
192,31922.5,0.4425,0.25316,0.88703,0.91006,0.87702,0.93117,0.78054,0.67802,0.52429,0.90602,5.455e-05,5.455e-05,5.455e-05
193,31972.4,0.43751,0.24745,0.88511,0.91646,0.86848,0.92963,0.77877,0.68206,0.52737,0.90743,4.96e-05,4.96e-05,4.96e-05
194,32022.2,0.43247,0.24423,0.88209,0.9129,0.86829,0.92826,0.77879,0.67925,0.53031,0.90671,4.465e-05,4.465e-05,4.465e-05
195,32072.9,0.42748,0.24027,0.88064,0.92105,0.86142,0.92675,0.77835,0.68009,0.53061,0.9099,3.97e-05,3.97e-05,3.97e-05
196,32122.8,0.42516,0.23823,0.88145,0.91295,0.86641,0.92671,0.77898,0.67849,0.52992,0.90952,3.475e-05,3.475e-05,3.475e-05
197,32172.8,0.41789,0.23441,0.8765,0.92131,0.85549,0.92598,0.77895,0.67234,0.53191,0.90646,2.98e-05,2.98e-05,2.98e-05
198,32222.9,0.41662,0.23261,0.87595,0.91117,0.85961,0.9257,0.77967,0.67196,0.53236,0.90539,2.485e-05,2.485e-05,2.485e-05
199,32273.1,0.4163,0.23072,0.87748,0.91932,0.85451,0.92562,0.78029,0.673,0.53254,0.90521,1.99e-05,1.99e-05,1.99e-05
200,32324.4,0.41499,0.23121,0.87618,0.90423,0.86821,0.92574,0.77984,0.67135,0.53452,0.90513,1.495e-05,1.495e-05,1.495e-05
