epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1317.26,0.80334,0.84294,1.08444,0.86366,0.81051,0.89869,0.59948,1.18579,0.77874,1.08632,0.00079705,0.00079705,0.00079705
43,1348.92,0.80024,0.83038,1.07651,0.88196,0.79926,0.88999,0.71578,0.75826,0.69227,0.93788,0.0007921,0.0007921,0.0007921
44,1379.33,0.8014,0.82991,1.07935,0.8903,0.79551,0.89902,0.62653,1.11218,0.76922,1.04133,0.00078715,0.00078715,0.00078715
45,1409.26,0.79269,0.82143,1.07627,0.87799,0.82893,0.9052,0.67377,0.94721,0.71513,0.99508,0.0007822,0.0007822,0.0007822
46,1439.38,0.79418,0.81786,1.07694,0.87233,0.77959,0.87251,0.59515,1.18536,0.84784,1.06607,0.00077725,0.00077725,0.00077725
47,1469.51,0.79764,0.82706,1.07895,0.88796,0.83729,0.91248,0.67928,0.96103,0.70905,1.01249,0.0007723,0.0007723,0.0007723
48,1499.9,0.79155,0.8179,1.07699,0.89538,0.8178,0.90093,0.68486,0.90541,0.72877,0.97912,0.00076735,0.00076735,0.00076735
49,1530.2,0.78536,0.80214,1.07297,0.87297,0.82266,0.90097,0.6919,0.88978,0.70326,0.98708,0.0007624,0.0007624,0.0007624
50,1560.26,0.79026,0.81909,1.07761,0.86481,0.83726,0.90372,0.68484,0.92523,0.73052,0.98312,0.00075745,0.00075745,0.00075745
51,1590.33,0.78625,0.80762,1.07151,0.84173,0.78798,0.87752,0.63876,1.03231,0.81238,1.01147,0.0007525,0.0007525,0.0007525
52,1620.55,0.78472,0.80314,1.07231,0.89687,0.82745,0.90783,0.68083,0.96056,0.67763,0.98625,0.00074755,0.00074755,0.00074755
53,1650.93,0.78013,0.79106,1.07221,0.86909,0.84324,0.90465,0.64425,1.09329,0.70982,1.03108,0.0007426,0.0007426,0.0007426
54,1681.27,0.77918,0.79595,1.07281,0.87832,0.80264,0.89241,0.7304,0.73419,0.73033,0.95649,0.00073765,0.00073765,0.00073765
55,1711.69,0.77957,0.79424,1.07222,0.89079,0.82497,0.90673,0.70223,0.84655,0.66181,0.96574,0.0007327,0.0007327,0.0007327
56,1741.95,0.77966,0.79152,1.07512,0.86279,0.81271,0.89711,0.69471,0.87412,0.7007,0.97258,0.00072775,0.00072775,0.00072775
57,1772.01,0.77278,0.78053,1.071,0.87872,0.83374,0.91113,0.71601,0.82522,0.68649,0.9677,0.0007228,0.0007228,0.0007228
58,1802.11,0.76583,0.77651,1.06531,0.87539,0.83064,0.89975,0.71687,0.77973,0.66396,0.94303,0.00071785,0.00071785,0.00071785
59,1832.44,0.775,0.77531,1.06739,0.88189,0.84446,0.90897,0.67608,0.99676,0.6935,0.99676,0.0007129,0.0007129,0.0007129
60,1862.95,0.77519,0.76309,1.0679,0.90269,0.83074,0.91441,0.69892,0.90089,0.68615,0.98232,0.00070795,0.00070795,0.00070795
61,1893.56,0.77177,0.76477,1.06856,0.8657,0.83659,0.90462,0.72567,0.79454,0.6522,0.94835,0.000703,0.000703,0.000703
62,24361.9,0.76757,0.77248,1.06563,0.89022,0.83754,0.91691,0.70741,0.86002,0.67277,0.98635,0.00069805,0.00069805,0.00069805
63,24412.9,0.76714,0.7737,1.06826,0.8757,0.84687,0.90463,0.67997,0.93487,0.68862,0.98653,0.0006931,0.0006931,0.0006931
64,24462.6,0.76157,0.77178,1.067,0.90299,0.82732,0.90357,0.70676,0.85517,0.66274,0.96557,0.00068815,0.00068815,0.00068815
65,24493.7,0.76739,0.77466,1.06589,0.89349,0.82396,0.90854,0.69414,0.91519,0.6878,0.97848,0.0006832,0.0006832,0.0006832
66,24552.6,0.76305,0.76081,1.06564,0.85451,0.85948,0.90902,0.66562,0.9787,0.69411,1.00242,0.00067825,0.00067825,0.00067825
67,24612.8,0.763,0.75509,1.07084,0.87789,0.82082,0.90374,0.73259,0.75109,0.67711,0.94631,0.0006733,0.0006733,0.0006733
68,24674.1,0.75362,0.75004,1.06049,0.89551,0.84132,0.91418,0.73016,0.78546,0.63418,0.96696,0.00066835,0.00066835,0.00066835
69,24734.9,0.75732,0.749,1.06124,0.90149,0.83674,0.90732,0.71147,0.82818,0.67656,0.94502,0.0006634,0.0006634,0.0006634
